exp_name,ckpt,readout,pooling,task,pr_auc_v1,pr_auc_untrained_v1,gap_v1,n_test_pos_v1,base_rate_v1,pr_auc_v2,pr_auc_untrained_v2,gap_v2,n_test_pos_v2,base_rate_v2,delta_pr_auc,delta_gap,delta_n_test_pos
exp03_fb0_b0p1_none,best_recon_aux,logistic,mean,eb,0.7442663654385139,0.7125878172203186,0.0316785482181952,196,0.0969816922315685,0.7537847368181808,0.7176276009331412,0.0361571358850396,189,0.0935180603661553,0.009518371379666934,0.004478587666844398,-7
exp03_fb0p02_b1p0_lpsd,best_recon_aux,logistic,max,eb,0.7365353115330792,0.7403470049053922,-0.003811693372313,196,0.0969816922315685,0.7460178384213318,0.7312499488500241,0.0147678895713077,189,0.0935180603661553,0.009482526888252685,0.0185795829436207,-7
exp03_fb0_b1p0_none,best_recon_aux,gbm,mean,eb,0.732794688938165,0.7314949660210456,0.0012997229171194,196,0.0969816922315685,0.7422320780366758,0.7215409961290331,0.0206910819076426,189,0.0935180603661553,0.009437389098510773,0.0193913589905232,-7
exp03_fb0p1_b0p1_lpsd,best_recon_aux,logistic,quantile,eb,0.6806174454750976,0.6852215032151786,-0.0046040577400809,196,0.0969816922315685,0.6898471107674464,0.6899515602232781,-0.0001044494558316,189,0.0935180603661553,0.00922966529234881,0.0044996082842493,-7
exp03_fb0_b0p3_none,best,gbm,mean,eb,0.7614810737265211,0.7314949660210456,0.0299861077054754,196,0.0969816922315685,0.7705940756725398,0.7215409961290331,0.0490530795435066,189,0.0935180603661553,0.009113001946018717,0.019066971838031202,-7
exp03_fb0p1_b0p3_none,best,mlp,quantile,eb,0.7052177402592159,0.6903264519718817,0.0148912882873342,196,0.0969816922315685,0.714114547784831,0.696092599953435,0.0180219478313959,189,0.0935180603661553,0.008896807525615058,0.0031306595440616994,-7
exp03_fb0p05_b0p3_lpsd,best,mlp,window_score,eb,0.7758501077949611,0.6789522251691357,0.0968978826258254,196,0.0969816922315685,0.784655492523807,0.6895776480484126,0.0950778444753943,189,0.0935180603661553,0.008805384728845844,-0.0018200381504310942,-7
exp03_fb0_b0p3_lpsd,best,gbm,window_score,eb,0.7566295232824698,0.740985495878607,0.0156440274038628,196,0.0969816922315685,0.7654171262539291,0.7342692724332739,0.0311478538206552,189,0.0935180603661553,0.008787602971459307,0.015503826416792401,-7
exp03_fb0_b1p0_none,best_recon_aux,logistic,mean,eb,0.7013094242597782,0.7125878172203186,-0.0112783929605404,196,0.0969816922315685,0.7099415582470633,0.7176276009331412,-0.0076860426860778,189,0.0935180603661553,0.008632133987285129,0.0035923502744626004,-7
exp03_fb0p02_b1p0_none,best,gbm,mean,eb,0.7062039381125876,0.7314949660210456,-0.0252910279084579,196,0.0969816922315685,0.714632712032344,0.7215409961290331,-0.006908284096689,189,0.0935180603661553,0.008428773919756383,0.0183827438117689,-7
exp03_fb0_b0p3_lpsd,best_recon_aux,gbm,max,eb,0.7896143077000497,0.7648959875211593,0.0247183201788904,196,0.0969816922315685,0.7979955785415002,0.7778161368178547,0.0201794417236454,189,0.0935180603661553,0.008381270841450461,-0.004538878455245001,-7
exp03_fb0p1_b0p1_lpsd,best_recon_aux,gbm,max,eb,0.7837548657929622,0.7648959875211593,0.0188588782718028,196,0.0969816922315685,0.7920217026444675,0.7778161368178547,0.0142055658266128,189,0.0935180603661553,0.00826683685150531,-0.004653312445190001,-7
exp03_fb0p02_b0p1_lpsd,best_recon_aux,logistic,quantile,eb,0.7476004214044925,0.6852215032151786,0.0623789181893138,196,0.0969816922315685,0.7558362859453751,0.6899515602232781,0.065884725722097,189,0.0935180603661553,0.008235864540882654,0.003505807532783199,-7
exp03_fb0p02_b0p1_lpsd,best,logistic,quantile,eb,0.7476004214044925,0.6852215032151786,0.0623789181893138,196,0.0969816922315685,0.7558362859453751,0.6899515602232781,0.065884725722097,189,0.0935180603661553,0.008235864540882654,0.003505807532783199,-7
exp03_fb0p1_b0p3_none,best_recon_aux,mlp,mean,eb,0.7006386239208985,0.6964033407428439,0.0042352831780545,196,0.0969816922315685,0.708863375247564,0.7023350455142886,0.0065283297332754,189,0.0935180603661553,0.008224751326665558,0.0022930465552208996,-7
exp03_fb0_b0p1_comb,best,gbm,quantile,eb,0.7700190973139402,0.7303331510105068,0.0396859463034334,196,0.0969816922315685,0.7781359002878087,0.7330848949460695,0.0450510053417391,189,0.0935180603661553,0.008116802973868409,0.005365059038305697,-7
exp03_fb0_b0p1_none,best,gbm,mean,eb,0.7680785331179226,0.7314949660210456,0.036583567096877,196,0.0969816922315685,0.7760371767748985,0.7215409961290331,0.0544961806458653,189,0.0935180603661553,0.00795864365697585,0.0179126135489883,-7
exp03_fb0_b0p3_comb,best,logistic,mean,eb,0.752784398534883,0.7125878172203186,0.0401965813145643,196,0.0969816922315685,0.7607219900716613,0.7176276009331412,0.0430943891385201,189,0.0935180603661553,0.00793759153677831,0.0028978078239558017,-7
exp03_fb0p1_b0p3_lpsd,best_recon_aux,gbm,mean,eb,0.7384517983016008,0.7314949660210456,0.0069568322805552,196,0.0969816922315685,0.74635665286187,0.7215409961290331,0.0248156567328369,189,0.0935180603661553,0.007904854560269237,0.0178588244522817,-7
